id,recipe_id,name
0,0,"2 szklanki mąki pszennej"
1,0,"1 łyżeczka proszku do pieczenia"
2,0,"1/2 łyżeczka sody"
3,0,"1/3 łyżeczki soli"
4,0,"1 szklanka puree z dyni"
5,0,"3/4 szklanki cukru trzcinowego"
6,0,"1/2 szklanki oleju"
7,0,"1/3 szklanki mocnej herbaty Earl Grey"
8,0,"2 łyżki octu jabłkowego"
9,1,"4 łyżki czarnej soczewicy"
10,1,"15 suszonych grzybów"
11,1,"szklanka wody"
12,1,"2 łyżki dowolnego oleju do soczewicy"
13,1,"2 łyżki sosu sojowego"
14,1,"1 cebula"
15,1,"3 marchewki"
16,1,"kilka łodyg selera naciowego"
17,1,"2 ząbki czosnku"
18,1,"1 łyżeczka cynamonu cejlońskiego"
19,1,"1 gwiazdka anyżu"
20,1,"szczypta soli"
21,1,"1/4 szklanki wytrawnego wina (opcjonalnie)"
22,1,"butelka passaty pomidorowej"
23,1,"makaron spaghetti lub inny"
24,1,"płatki drożdżowe do posypania"
25,1,"świeża bazylia do posypania"
26,1,"sól"
27,1,"pieprz"
28,1,"oliwa z oliwek do sosu"
29,1,"2 łyżeczki ziół prowansalskich do sosu"
30,2,"0,5kg mięsa mielonego"
31,2,"1 cebula"
32,2,"2 ząbki czosnku"
33,2,"1 butelka passaty pomidorowej"
34,2,"2 łyżeczki ziół prowansalskich do sosu"
35,2,"parmezan do posypania lub płatki drożdżowe"
36,2,"sól"
37,2,"pieprz"
38,2,"oliwa z oliwek do sosu"
39,2,"makaron spaghetti lub inny"
40,3,"200g herbatników"
41,3,"100g masła"
42,3,"1kg zmielonego twarogu"
43,3,"200g cukru"
44,3,"6 jajek"
45,3,"200ml śmietanki 30%"
46,3,"2 łyżki herbaty matcha"
47,3,"1 łyżeczka ekstraktu waniliowego"
48,3,"4 łyżki mąki"
49,3,"2 łyżki gorącej wody"
50,4,"3 jajka"
51,4,"1 łyżka mleka"
52,4,"1 cebula"
53,4,"1 łyżka oleju"
54,4,"1 łyżka posiekanego szczypiorku"
55,4,"sól"
56,4,"pieprz"
57,5,"3 jajka"
58,5,"3 łyżeczki mascarpone"
59,5,"1 łyżeczka oleju kokosowego"
60,6,"1 szklanka mleka roślinnego"
61,6,"1 łyżeczka kurkumy"
62,6,"1 łyżeczka miodu"
63,6,"1 łyżka oleju kokosowego"
64,6,"1 łyżeczka imbiru"
65,6,"1 łyżeczka cynamonu"
66,6,"1 łyżeczka kardamonu"
67,6,"szczypta pieprzu"